deviceId;prevDeviceId;nextDeviceId
L1_D01;;L1_D02,L1_D03
L1_D02;L1_D01;L1_D03,L1_D04
L1_D03;L1_D01,L1_D02;L1_D04,L1_D05
L1_D04;L1_D02,L1_D03;L1_D05,L1_D06
L1_D05;L1_D03,L1_D04;L1_D06,L1_D07
L1_D06;L1_D04,L1_D05;L1_D07,L1_D08
L1_D07;L1_D05,L1_D06;L1_D08,L1_D09
L1_D08;L1_D06,L1_D07;L1_D09,L1_D10
L1_D09;L1_D07,L1_D08;L1_D10,L1_D11
L1_D10;L1_D08,L1_D09;L1_D11,L1_D12
L1_D11;L1_D09,L1_D10;L1_D12,L1_D13
L1_D12;L1_D10,L1_D11;L1_D13,L1_D14
L1_D13;L1_D11,L1_D12;L1_D14,L1_D15
L1_D14;L1_D12,L1_D13;L1_D15,L1_D16
L1_D15;L1_D13,L1_D14;L1_D16,L1_D17
L1_D16;L1_D14,L1_D15;L1_D17,L1_D18
L1_D17;L1_D15,L1_D16;L1_D18,L1_D19
L1_D18;L1_D16,L1_D17;L1_D19,L1_D20
L1_D19;L1_D17,L1_D18;L1_D20,L1_D21
L1_D20;L1_D18,L1_D19;L1_D21,L1_D22
L1_D21;L1_D19,L1_D20;L1_D22,L1_D23
L1_D22;L1_D20,L1_D21;L1_D23,L1_D24
L1_D23;L1_D21,L1_D22;L1_D24,L1_D25
L1_D24;L1_D22,L1_D23;L1_D25
L1_D25;L1_D23,L1_D24;
